idx,Base salt,Initial loading,Final loading,Fitness
1897,NiBr3,0,3.0,43.11723966666667
877,ZnI2,9,12.0,46.03219333333333
2927,NiBr3,1,6.0,54.23278519999999
3229,GeF4,3,5.0,58.245594586
1595,NaI,0,2.0,61.16908483
3715,SrI2,6,9.0,46.006808666666664
893,MgI2,6,8.0,49.634752
1292,MgBr2,4,12.0,56.579163375
1168,VF4,0,3.0,72.63335161600001
1144,SnF2,0,8.0,48.31709321375
2694,ScF3,0,3.0,58.186548657
553,YBr3,3,10.0,56.32067918571427
660,Pb(IO3)2,1,6.0,49.1781104
3555,SnF2,9,12.0,39.33660378666667
1736,PbBr2,1,4.0,59.789525999999995
4160,ZnF2,8,9.0,17.116244646
1321,MgBr2,2,8.0,59.658112499999994
916,Ba(ClO4)2,3,5.0,44.671344000000005
23,BeI2,0,8.0,80.06567716500001
272,FePO4,1,9.0,53.088904799999995
328,LiNO3,0,3.0,61.08548033333333
2229,BeCl2,7,9.0,20.34890559
530,BaI2,1,12.0,56.78747636363637
692,Cu(IO3)2,2,6.0,47.3276115
155,Co3(AsO4)2,0,4.0,55.30329
1869,VF4,5,8.0,39.2123576
4049,ScBr3,3,4.0,49.6399956
681,YCl3,3,6.0,58.0061034
168,KF,2,4.0,45.369070846
333,ZrCl4,0,8.0,71.376016
3541,YCl3,2,4.0,57.129840300000005
3431,GeCl2,2,4.0,51.254673
3979,PbI2,1,2.0,56.045808
4002,PbCl2,4,6.0,28.586376
3469,ZrBr4,0,2.0,74.850055
627,AlAsO4,7,11.0,41.64312949999999
2954,NaI,0,3.0,53.364108983333345
373,CrBr3,0,9.0,65.252538
896,KI,0,1.0,50.42087720000001
2225,YCl3,6,8.0,34.9255299
3568,ScBr3,4,6.0,69.43109535
558,SrHAsO4,2,7.0,50.18430286000001
250,Li2SO4,0,10.0,56.2773824
1086,ZnF2,1,9.0,48.4474997745
800,KCl,0,1.0,52.4850921
505,LaBr3,0,9.0,63.20795888888889
1491,MoBr4,2,8.0,62.57569699999999
1220,YCl3,1,6.0,68.59571195999999
491,LiCl,1,4.0,45.45491533333333
4041,SnI2,0,1.0,43.347054
2984,VCl3,4,9.0,52.39413089999999
3270,FeCl2,6,9.0,44.657106
79,YBr3,0,9.0,70.0140804
711,TiF4,2,4.0,55.413531557999995
1432,SnF4,3,8.0,54.5597500592
626,YBr3,3,9.0,61.57581389999999
1860,BaBr2,7,12.0,50.2602474
3331,CuI2,6,12.0,44.17537250000001
2233,LaBr3,0,1.0,56.71844749999999
4154,BaBr2,7,8.0,37.81836
1564,LaF3,3,9.0,45.90259705900001
416,AlF3,0,2.0,64.2636140895
14,Na2S,5,9.0,43.116092865
4133,YI3,6,7.0,55.102687200000005
1034,BeF2,0,7.0,51.192278717142855
4103,CuI2,6,8.0,26.3271825
1012,Ba(ClO4)2,4,5.0,35.42462
4034,HfCl4,4,5.0,56.160622
932,BaCO3,5,6.0,47.377924
911,LaI3,7,10.0,46.658005333333335
787,MgI2,8,12.0,50.24996899999999
1833,MgBr2,6,9.0,48.901776000000005
4011,SnBr2,6,8.0,30.823744000000005
2242,VCl4,3,4.0,54.79981000000001
207,CoPO4,0,7.0,68.00232171428571
3305,MgF2,1,2.0,46.664064286
240,AlCl3,0,9.0,84.86714121111112
